City,State,city_state,HatecrimeDBcode,census_1990,census_2000,census_2010,Crime Data Source,Notes,Grade,ann_pct_change,proj_pct_change,Hate Crime Trend
Abilene,TX,Abilene_TX,TX2210100,"106,654","115,930","117,063",http://www.abilenepolice.org/,"Links to LexisNexis (anonymized addresses to the block) for data. Reports can be requested online, but require requestor's information and reasoning.",B-,-0.26,-0.33,Flat
Akron,OH,Akron_OH,OH0770100,"223,019","217,074","199,110",http://online.akronohio.gov/apdonline/reportlookup/EULA.aspx?referrer=ReportLookup,Full reports available with direct identfiers.,F,-3.18,-0.21,Flat
Albuquerque,NM,Albuquerque_NM,NM0010100,"384,736","448,607","545,852",http://data.cabq.gov/publicsafety/policeincidents/,"No direct or indirect identifiers. Public dataset available, but connection is down.",B+,-2.25,-0.29,Flat
Alexandria,VA,Alexandria_VA,VA0990000,"111,183","128,283","139,966",https://apps.alexandriava.gov/CrimeReport/,Fully anonymized data (incident address to the block). Reports not released.,B-,-3.21,-0.4,Flat
Allentown,PA,Allentown_PA,NJ0130200,"105,090","106,632","118,032",https://www.allentownpa.gov/Police,"Victim-only full reports, photos of wanted suspects online",C-,-0.28,0,Flat
Amarillo,TX,Amarillo_TX,TX1880100,"157,615","173,627","190,695",http://code.amarillo.gov/al_case_list_pd.php,"Online portal with immediate, free access to reports
must search on date, but can then see a list of incident numbers that correspond w/the selected date

direct and indirect identifiers exposed",F,0.01,0,Flat
Anaheim,CA,Anaheim_CA,CA0300100,"266,406","328,014","336,265",https://main-anaheim.opendata.arcgis.com/search?tags=Public%20Safety,Fully anonymized - no direct or indirect identifiers. Incident addresses anonymized to the block.,B-,-0.22,0,Flat
Anchorage,AK,Anchorage_AK,AK0010100,"226,338","260,283","291,826",https://data.muni.org/Public-Safety/Anchorage-Crime-Data-by-Type-and-Year-UCR-1985-201/48we-a359,Data only shown in aggregate. No direct or indirect identifiers.,B+,3.28,3,Increasing
Ann Arbor,MI,Ann_Arbor_MI,MI8121800,"109,592","114,024","113,934",https://www.a2gov.org/departments/police/pages/crime-mapping.aspx,Links to CrimeMapping.com for data (fully anonymized - incident address to the block). Reports involving victims and suspects available only by FOIA (w/ fee).,B-,0.44,-0.14,Flat
Antioch,CA,Antioch_CA,CA0070100,"62,195","90,532","102,372",https://www.antiochca.gov/police/crime-statistics/,"Anonymized location data, direct identifiers for people being arrested, aggregated crime statistics by year.",C-,2.19,2,Increasing
Arlington,TX,Arlington_TX,TX2200100,"261,721","332,969","365,438",http://www.arlington-tx.gov/police/statistics/,"Incident addresses shown (anonymized in crime stats, do not appear to be anonymized in incident data, which is available for past year).",C+,-11,-1,Decreasing
